"array_index","scenario_id","v2_job_id","v2_scheduler_status","v2_scientifically_eligible","v3_retry_required","v2_expected_raw_log_round10_sha256","v2_expected_clean_log_round10_sha256","v3_expected_raw_log_round9_sha256","v3_expected_clean_log_round9_sha256","v3_local_vs_euler_login_round9_match","v2_failure_archive"
1,"CONF01_none_0p00","8395516","completed_v2_scientifically_ineligible",FALSE,TRUE,"cb1f7c5bc18a30446150936599e0112f4086a558719b6b7d22f2ebd498cccfe2","5033e4b140f49b0e8db15625ec79fc09a350868a3d301f86202543e2e326f356","e3b795e06927b23161c0dc10b88f3f2c86c08425e266f4af7818d83be1d2dba9","3d2727899e40ee7be4a0fac0a3ece63d8469c452fb303314373e0a54b97892ad",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
2,"CONF01_batch_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"d3f5fa4bab51851b1958336b8f9ee30a42e76524df549b4aa49837c7c68da75f","aac71697e64caef6b9a75434e8fcc7c3a699ca04b1a5208312d7b7f5b1803d33","13386499e7ffbbb9ed803975ef8c6f019c3db429117f4f45fc2129ac9481b57a","ddbe40db6f42eeaad9bf081c7554198a2ceb09f302b790d34aba2f661a79dd78",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
3,"CONF01_run_order_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"1a836c2b100c4dabbc018fe47107470c008b4333a4ef70c73b492f606feb5465","f48fe03e827149f067b84d19b3b229cd99a74ff665c403f64e96c763eff64621","78b0255c1e61d9d436aaf88b604075ed238132c4a14e10d6970ff29ddc09c66b","938895d04aa972351b94ff793962c2cab9e84b1ec2f76663e0c70a73c42250b4",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
4,"CONF01_joint_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"197b34ebf768173180729f5994cd1e8c3ffbc7492955cc2141cbecaf9c14a843","149c195a52a356e485343e45b6fe100ff6441531065022811c8bd55669b777b3","1d3cede33ca5c36f53ffef987d57dbda9c3cb8ddff4b7f5a8bf40eadcc3df8cb","cf5e411ddaf7190be33505bf221538b9458e3312e371fe3fa9d3c961d28fde00",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
5,"CONF01_batch_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"954d042dffd4885fe4f35537861d5bd5cedb85c38a6adf34c775a56621bcbdf7","f46190b654b0b4f4f59e3e2fdb559d9cdc85fe7ff41ecc9fc2f0ad093633dacb","79fcf9225c482f3a948e716cf5d6961b0cb3e3128f91ff095476eceebb6ce6c3","cf135728fd42d4e8753798955be5f4d1009e0a12b716d51696a9075b10dfa2d1",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
6,"CONF01_run_order_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"b6246379b85defb3b7605e27793651087093b4d15a2b43c420a0fe157f69cb16","c955f30dcfb8e968a65bea70d866505611084599ee196375ff04aadee8a9ed3b","bad3c67705ca5fca45ec84f5d01f002b70802f4cb642a105eb2daf88dfb29681","c6021462b145e00d77c016d8829e59cdc7a4a3b7ad3deaf71d27f2d4e4b72202",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
7,"CONF01_joint_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"b5a72f60938c5bda2e87e4a7d7f0a7b22db4aa57531acff94451133f6b1cecf5","9db0367f840d5affe877b06f24683699c2dd1a8b13c15e14d1d982ab3c2e78dd","fde150421970c7959860cd78ecd32d864bbffe54af980bf1c010621f27406d93","98857eb3c1a99d3d6830e50cf190e302207fe2b149871721f88cec1649c51499",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
8,"CONF01_batch_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"441fff0455848b3d89fdab7e0ab546558af7f256fb41135efbce3e8f6bd1f171","2a4e44f4650318bf8adf7c1b32bbd287b03facb82f57a121f9da5a28920b8751","81a61c59d2bdb77dba38ec711a88f8b0d69ff116d8327808a17ed247b23a1633","7eafccb5e2c18d6ef9f700a2736a8990bef5bd48ca3244c21ada7479592903c5",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
9,"CONF01_run_order_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"e55058a5e0ac456a63fcdbb6b60a4c03efdc7dd5440bacb94814f53bdacffe27","955c007203352d4810c21a607c4df91795c13c0837a876f8f1f7ed568959fd54","74200333e4a21f6e83e1623a4164abb6f0f28c4534a0cc2a43966391bc4f459f","33f69a5709a65e3a19ec88e258414b594590941984966b7c7c48e0cc0611c6a4",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
10,"CONF01_joint_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"f7edf285590688853eb7fd666334386949cdfee91147db2308bf292fb73dda98","c136bcf87b6097655690c90cd427f0499469d06a05caa9435e3166c3e6948a41","4a02eb0bc4a619cf704a85399ceefd54bdc8c9cb4824ef72deaf0fc7be713607","3745aa775905890d7b5566f624ddfbaa6c4ff4bf20a879f27cf2b759f97b9384",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
